Countries or Regions,Currency Code,Price,Proceeds,May Adjust Automatically
Anguilla,USD,2.99,2.1,N
Antigua and Barbuda,USD,2.99,2.1,N
Argentina,USD,2.99,2.1,N
Bahamas,USD,2.99,1.9,N
Barbados,USD,2.99,1.78,N
Belize,USD,2.99,2.1,N
Bermuda,USD,2.99,2.1,N
Bolivia,USD,2.99,2.1,N
Brazil,BRL,19.9,12.17,N
British Virgin Islands,USD,2.99,2.1,N
Cayman Islands,USD,2.99,2.1,N
Chile,CLP,3990,2347,N
Colombia,COP,14900.0,8764.71,N
Costa Rica,USD,2.99,2.1,N
Dominica,USD,2.99,2.1,N
Dominican Republic,USD,2.99,2.1,N
Ecuador,USD,2.99,2.1,N
El Salvador,USD,2.99,2.1,N
Grenada,USD,2.99,2.1,N
Guatemala,USD,2.99,2.1,N
Guyana,USD,2.99,2.1,N
Honduras,USD,2.99,2.1,N
Jamaica,USD,2.99,2.1,N
Mexico,MXN,59.0,35.6,N
Montserrat,USD,2.99,2.1,N
Nicaragua,USD,2.99,2.1,N
Panama,USD,2.99,2.1,N
Paraguay,USD,2.99,2.1,N
Peru,PEN,12.9,7.65,N
St. Kitts and Nevis,USD,2.99,2.1,N
St. Lucia,USD,2.99,2.1,N
St. Vincent and the Grenadines,USD,2.99,2.1,N
Suriname,USD,2.99,1.9,N
Trinidad and Tobago,USD,2.99,2.1,N
Turks and Caicos Islands,USD,2.99,2.1,N
Uruguay,USD,2.99,2.03,N
Venezuela,USD,2.99,2.1,N
